,name,profile_link,bio,D.O.B,image,Other_Works,Nick_Name,star_sign,trivia,trademark,quote,height,ALternate Names
79," Madhuri Dixit
",https://www.imdb.com/name/nm0002043,"
    Madhuri Dixit is one of the most acclaimed actors and Kathak dancers Bollywood have ever witnessed. Born in a Marathi Brahmin Koknastha family to Mr. Shankar and Mrs. Snehlata, Madhuri Dixit has two sisters Rupa, Bharti, and brother Ajit. She performed decently well in her academics and aspired to become a Microbiologist which made her pursue the ...            
See full bio »
            
","
May 15, 
     
1967","https://m.media-amazon.com/images/M/MV5BNTk0OTFkZGItYTQxMi00YTUwLTlkMGEtMTIyZDNlNDc0MzRlXkEyXkFqcGdeQXVyMTgzNTY5OTc@._V1_UY317_CR51,0,214,317_AL__QL50.jpg","

    TV Commercial for Xpert Aquashine.                    
See more

                    »
        ","

            Mohini
                
See more

                »
        ","

Taurus
","

    Gave birth to her 1st child at age 35, a son Arin Nene in March 2003. Child's father is her husband, Shriram Madhav Nene.                    
See more

                    »
        ",,"

    If someone has been bad to me, I believe in being good to that person. It's my way of getting back. Because that person is going to feel guilty about it. [Interview with Jitendra Kothari, Movie (Magazine) June 1995]                    
See more

                    »
        ","

5' 2½"" (1.58 m)        ","

            Madhuri Dixit-Nene | Madhuri
        "
80," Mohnish Bahl
",https://www.imdb.com/name/nm0046894,"
    Mohnish Bahl was born on February 14, 1963 in Bombay, Maharashtra, India. He is known for his work on Hum Aapke Hain Koun...! (1994), Sanjivani: A Medical Boon (2002) and Baaghi: A Rebel for Love (1990). He has been married to Ekta Bahl since 1992. They have two children.            
See full bio »
            
","
February 14, 
     
1963","https://m.media-amazon.com/images/M/MV5BZWRlMmFiZWUtYWY3Ni00NDkwLWFlZmQtOWE2NjI2MDUzYTczXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR6,0,214,317_AL__QL50.jpg",,,"

Aquarius
","

    Was involved with Nagma in 1990.                    
See more

                    »
        ",,,"

5' 8"" (1.73 m)        ","

            Mohnish Bahel | Mohnish Behal | Mohanish Behl | Mohinish Behl | Mohnish Behl | Monish Behl | Monnish Behl
        "
81," Mithun Chakraborty
",https://www.imdb.com/name/nm0149822,"
    Mithun Chakraborty was born on June 16, 1947 in Barisal, Bengal Presidency, British India as Gouranga Chakraborti. He is an actor, known for OMG: Oh My God! (2012), Vivekananda (1994) and Guru (2007). He has been married to Yogeeta Bali since July 1982. They have four children. He was previously married to Sridevi and Helena Luke.            
See full bio »
            
","
June 16, 
     
1947","https://m.media-amazon.com/images/M/MV5BMjQwNDUxMzY4Ml5BMl5BanBnXkFtZTgwMTgxMTIzOTE@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",,"

            Mithunda
        ","

Gemini
","

    Starred in the shelved film Vasudha Arts "" Ser Pe Sawa Ser""(1984). Starring Mithun Chakraborthy, Kim,Danny Denzongpa, Music by Raam Laxman, Produced by B.D.Pande, Directed by Deepak Bahry.                    
See more

                    »
        ",,,"

5' 9"" (1.75 m)        ","

            Mithun Chakarborti | Mithun Chakraborthy | Mittun Chakraborthy | Mithun Chakravarty | Mittun Chakravarty | Mithun Chakravorty | Mithun Chakrobarthy | Mithun Chakrobarty | Grandmaster Mithunda
        "
82," Mukesh Khanna
",https://www.imdb.com/name/nm0451383,"
    Mukesh Khanna was born on July 19, 1958 in Bombay, State of Bombay, India. He is an actor and producer, known for Mahabharat (1988), Hera Pheri (2000) and Shaktimaan (1997).            
See full bio »
            
","
July 19, 
     
1958","https://m.media-amazon.com/images/M/MV5BMTYwNTk2MTk4MF5BMl5BanBnXkFtZTgwODQ1ODA0OTE@._V1_UY317_CR136,0,214,317_AL__QL50.jpg",,,"

Cancer
","

    Starred in the shelved movie ""Khunnus"" (1983) Music by Jaidev.                    
See more

                    »
        ",,,,
83," Mukul Dev
",https://www.imdb.com/name/nm0222143,"
    Mukul Dev was born on November 30, 1970 in Delhi, India. He is an actor and writer, known for 21 Sarfarosh Saragarhi 1897 (2018), Omerta (2017) and Ssshhhh... Koi Hai (2001).            
See full bio »
            
","
November 30, 
     
1970","https://m.media-amazon.com/images/M/MV5BODhjYmUzZTctNWY3Yy00ZDBmLTk0NzEtMzg3YzlhYzA0NGI2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",,,"

Sagittarius
","

    Starred in Vikram Bhatt's shelved film "" Tumko Mere Kasam"" . Co starring Rani Mukherjee, Mukul Dev. A periodic love story. Anil Kapoor was signed but later replaced by Aftab. Anil was very insistent that Preity Zinta star in the film.The script was written by Emraan Hashmi. This was in 2002.                    
See more

                    »
        ",,,"

5' 7¾"" (1.72 m)        ","

            Muks
        "
84," Madhubala
",https://www.imdb.com/name/nm0534870,"
    Arguably the most beautiful artiste to ever grace the Indian screen, Madhubala rose from humble beginnings to become the most captivating star India has ever produced. Madhubala was born Mumtaz Jehan Begum on Valentine's Day 1933, in a poor, conservative family of Pathan Muslims in Delhi, a part of a prolific brood of sisters, and entered the world...            
See full bio »
            
","
February 14, 
     
1933","https://m.media-amazon.com/images/M/MV5BMTI4MTAzMzc2MV5BMl5BanBnXkFtZTcwMDkyNDAzMQ@@._V1_UY317_CR15,0,214,317_AL__QL50.jpg",,"

            Venus Queen
        ","

Aquarius
","

    Sister in law of actor/ music composer _Brij Bhushan Sahni_. (Partner of youngest sister _Madhur Bhushan_).                    
See more

                    »
        ",,,"

5' 4"" (1.63 m)        ","

            Madhu Bala | Baby Mumtaz | Mumtaz
        "
85," Meena Kumari
",https://www.imdb.com/name/nm0474932,"
    Born 1933 into a poor Parsee theatre family of Ali Bux and dancer Iqbal begum in Bombay, Maharashtra, India. Entered films to support family in difficult times. She was six when hired for Leatherface (1939) in 1939 by Vijay Bhatt and named Baby Meena. Later she became Meena Kumari when cast for Bhatt's Baiju Bawra (1952). She did mythological ...            
See full bio »
            
","
August 1, 
     
1933","https://m.media-amazon.com/images/M/MV5BMTM2NjQ1Nzg2N15BMl5BanBnXkFtZTcwNDkyNjAzMQ@@._V1_UY317_CR1,0,214,317_AL__QL50.jpg","

    Tanha Chand, Urdu poems under name Naaz        ","

            Manju
        ","

Leo
","

    She had taken interest in newcomer Rahul from the film Raaz (1967). She was promoting him to all producers. His real name was Mahinder and he was from Jalandhar India.                    
See more

                    »
        ",,,"

5' 3"" (1.6 m)        ","

            Baby Meena | Meenaji | Meenakumari | Meena
        "
86," Mala Sinha
",https://www.imdb.com/name/nm0802366,"
    Mala Sinha was born on November 11, 1936 in Calcutta, Bengal Presidency, British India as Alda Sinha. She is known for her work on Jahan Ara (1964), Himalay Ki Godmein (1965) and Pyaasa (1957).            
See full bio »
            
","
November 11, 
     
1936","https://m.media-amazon.com/images/M/MV5BMWUyNzlkMDEtMGY4My00M2QwLWEzYjktMzk1YjliNDhiYzc5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR8,0,214,317_AL__QL50.jpg",,,"

Scorpio
","

    Proposed marriage to Sanjay Khan on the sets of "" Dillagi"".                    
See more

                    »
        ",,,"

5' 2"" (1.57 m)        ","

            Malasinha | Mala
        "
87," Manoj Pahwa
",https://www.imdb.com/name/nm0656644,"
    Manoj Pahwa is an actor, known for Article 15 (2019), Mulk (2018) and Being Cyrus (2005).            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BMDM4MTY3YzAtYmJlMC00YjdjLTg4YzgtZTJiMzI5NzJjODg2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR6,0,214,317_AL__QL50.jpg",,,,"

    Wife name is Seema Bhargav Pahwa and daughter name is Manukriti.        ",,,,"

            Manoj Pahawa | Manoj Pawa | Manoj Pawha
        "
88," Manoj Kumar
",https://www.imdb.com/name/nm0006370,"
    Manoj Kumar was born on July 24, 1937 in Abbottabad, North-West Frontier Province, British India as Harikishen Giri Goswami. He is an actor and writer, known for Roti Kapada Aur Makaan (1974), Upkar (1967) and Shor (1972).            
See full bio »
            
","
July 24, 
     
1937","https://m.media-amazon.com/images/M/MV5BMzUxNTM4MzQ4N15BMl5BanBnXkFtZTgwMjY1ODA0OTE@._V1_UY317_CR51,0,214,317_AL__QL50.jpg",,"

            Bharat Kumar
        ","

Leo
","

    Manoj Kumar had announced a film titled Teer Kaman. He ended up shelving the film.                    
See more

                    »
        ",,,"

6' 1"" (1.85 m)        ","

            Manoj
        "
89," Nassar
",https://www.imdb.com/name/nm0621937,"
    Nassar is one of the most acclaimed actors in India. He is the current president of South Indian Actors Association. Nassar is well known for Thevar Magan (1992), Bombay (1995), Anbe Sivam (2003) and Nayakan (1987). Nassar was born on 5 March 1958 to Mehaboob Basha and Mumtaz in Chengalpattu, Tamil Nadu. He studied in St. Joseph's Higher Secondary ...            
See full bio »
            
","
March 5, 
     
1958","https://m.media-amazon.com/images/M/MV5BMjA3Njc5NjcwOF5BMl5BanBnXkFtZTcwMTgyOTY0OA@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",,,"

Pisces
","

    Changed his name from Muhammed Hanif to Nasser after his idol Egyptian President Gamal Abdel Nasser.                    
See more

                    »
        ",,,"

5' 5"" (1.65 m)        ","

            Naseer | Nasir | M. Nasser | Nasser | Nazar | Nazir
        "
90," Naseeruddin Shah
",https://www.imdb.com/name/nm0787462,"
    Naseeruddin Shah was born on July 20, 1950 in Barabanki, Uttar Pradesh, India. He is an actor, known for The League of Extraordinary Gentlemen (2003), A Wednesday (2008) and Jaane Bhi Do Yaaro (1983). He has been married to Ratna Pathak Shah since April 1, 1982. They have three children.            
See full bio »
            
","
July 20, 
     
1950","https://m.media-amazon.com/images/M/MV5BMTQ4MDcyOTExOV5BMl5BanBnXkFtZTgwOTQyMDU0OTE@._V1_UY317_CR18,0,214,317_AL__QL50.jpg","

    (January 1995-March 1995; April 1995-February 1996) He acted in the Royal National Theatre repertoire season at the Laurence Olivier Theatre, Cottesloe Theatre, and Lyttelton Theatre in London, England in William Shakespeare's plays, ""Richard II, ""The Merry Wives of Windsor;"" Kenneth Grahame and Alan Bennett's play, ""The Wind ...                    
See more

                    »
        ",,"

Cancer
","

    Eldest brother's name is Zaheeruddin Shah.                    
See more

                    »
        ",,"

    (2003): I don't enjoy seeing Hindi films.        ","

5' 10"" (1.78 m)        ","

            Naseer-ud-Din Shah | Nasiruddin Shah | Nasrudin Shah
        "
91," Nandita Das
",https://www.imdb.com/name/nm0201903,"
    Nandita Das was born on November 7, 1969 in Delhi, India. She is known for her work on Firaaq (2008), Bawandar (2000) and Kannathil Muthamittal (2002). She has been married to Subodh Maskara since January 5, 2010. They have one child. She was previously married to Saumya Sen.            
See full bio »
            
","
November 7, 
     
1969","https://m.media-amazon.com/images/M/MV5BMTA2NzUwMTAxMDBeQTJeQWpwZ15BbWU4MDQ0MTEyNTEx._V1_UY317_CR0,0,214,317_AL__QL50.jpg","

                	Book: 
    ""Manto & I"". New Delhi: Aleph Book Company. ISBN 978-81-943657-4-7        ",,"

Scorpio
","

    Her father is the famous Indian painter Jatin Das.                    
See more

                    »
        ",,,,
92," Nagarjuna Akkineni
",https://www.imdb.com/name/nm0015459,"
    Nagarjuna did his schooling at Hyderabad Public School and later went to Little Flower Junior College to do his intermediate. After that, he went on to do mechanical engineering at the University of Michigan, Ann Arbor, MI and later got a masters degree in automobile engineering at San Jose State University.            
See full bio »
            
","
August 29, 
     
1959","https://m.media-amazon.com/images/M/MV5BMDE5ZTgzN2QtODQzMi00NzYxLWI3ZmMtMzAxNWM0OGM1YjM0XkEyXkFqcGdeQXVyNzc4NzEwNTc@._V1_UY317_CR123,0,214,317_AL__QL50.jpg",,"

            King
                
See more

                »
        ","

Virgo
","

    The turning point of his career was RGV's Siva. Till then he was just another star son.                    
See more

                    »
        ",,,"

5' 10"" (1.78 m)        ","

            Nagaarjuna | Nagarjuna
        "
93," Nana Patekar
",https://www.imdb.com/name/nm0007113,"
    Vishwanath Patekar (born on January 1, 1951 in Murud-Janjira, Maharashtra, India) is an actor, writer and filmmaker. He is known for his work on Ab Tak Chhappan (2004), Raajneeti (2010) and Parinda (1989). He made his acting debut in the early 70's and since then has been nominated for multiple awards. He won a National Film Award and a Filmfare ...            
See full bio »
            
","
January 1, 
     
1951","https://m.media-amazon.com/images/M/MV5BMjI4MzQyODYwOF5BMl5BanBnXkFtZTgwMTcxMTIzOTE@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","

    Provided the voice of ""Shere Khan"" in the Hindi dubbed version of The Jungle Book (2016).        ","

            Nana
        ","

Capricorn
","

    Married his wife in 1978.                    
See more

                    »
        ",,"

    Describing the creative process for an artist Patekar says, ""Let everything affect you. Let it pierce your heart, and let stay there for a while. Then it rise to your mind and then let those thoughts and emotions, as if marinate, and then EXPRESS it!        ","

5' 7"" (1.7 m)        ",
94," Nawazuddin Siddiqui
",https://www.imdb.com/name/nm1596350,"
    Nawazuddin Siddiqui (born 1974) also known as Nowaz is an Indian film actor who has appeared in some of Bollywood's major films including, Black Friday (2004), New York (2009), Peepli Live (2010), Kahani (2012), Gangs of Wasseypur (2012) and Gangs of Wasseypur - Part 2 (2012). Early life and education Nawazuddin Siddiqui is from Budhana a small town...            
See full bio »
            
","
May 19, 
     
1974","https://m.media-amazon.com/images/M/MV5BMTU5NTQwMTI0NV5BMl5BanBnXkFtZTcwNzQyNTgxOA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Taurus
","

    Younger brother, Shamaas Nawab Siddiqui, is a director.                    
See more

                    »
        ",,,"

5' 2"" (1.58 m)        ","

            Nawazuddin | Novaz | Nowaz | Nawazuddin Siddique | Nawaz Uddin
        "
95," Nargis
",https://www.imdb.com/name/nm0004291,"
    She was born on June 1, 1929 as Fatima Rashid in Rawalpindi, British India, daughter to Jaddanbai and Uttamchand Mohanchand, a former Hindu Mohyal Brahmin who converted to Islam as Abdul Rashid. Her mother was a well-known dancer, singer, actor, composer, and director. This is what paved the way for Fatima to become a child artiste (Baby Nargis) ...            
See full bio »
            
","
June 1, 
     
1929","https://m.media-amazon.com/images/M/MV5BMTY1NzE0ODkzNl5BMl5BanBnXkFtZTcwMDQ2OTAzMQ@@._V1_UY317_CR7,0,214,317_AL__QL50.jpg",,"

            Baby
                
See more

                »
        ","

Gemini
","

    The Indian actress Nargis made her only appearance in a Greek film in Tosa oneira stous dromous (1968). Her movies were popular in Greece.                    
See more

                    »
        ","

    White Sari                    
See more

                    »
        ",,,"

            Nargis Dutt | Baby Rani | Fatima Mohanchand Uttamchand
        "
